Id,Months,Likes,Comments,Post,Url,Media,Original,Type,Mention,Effort
1,10,5,1,"Which products are often purchased together? That's a question you can very easily answer using Tableau and a handful of LOD calculations. If you are curious about the interactive dashboard, check this link: https://lnkd.in/dxRUHV8 Feel free to download it and check the calculations. If you have any questions, I am happy to help!",https://www.linkedin.com/posts/jmperafan_tableau-marketbasketanalysis-juanalytics-activity-6458254303512522752-6s9p,Image,TRUE,Display,,
2,9,12,3,"Exactly 30 weeks ago, I decided to join hashtag#makeovermonday for the very time. Today, I decided to create a more polished version that same dashboard. This is how much my Tableau skills have improved during that time. Link: https://lnkd.in/gZEZBCF hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_makeovermonday-tableau-juanalytics-activity-6464547217381294080-CGXf,Image,TRUE,Accomplishment,,
3,9,18,0,Marketoonist strikes again! hashtag#juanalytics,https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6465216385613070336-2MnC,Image,FALSE,Joke,Marketoonist,
4,9,17,0,"I made a Tableau workbook with 8 different types of maps. Feel free to download it if you want to reverse engineer how it is done. Alternatively, send me a message, I am always happy to help. Link: https://lnkd.in/dFa8ct5 hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6467310520893472768-4CK4,Image,TRUE,Display,,
5,9,14,1,"In 1973, the statistician Frank Anscombe taught us the importance of going beyond statistical data analysis. In one of his most renowned papers, he published four datasets with nearly identical descriptive statistics. These datasets had similar means, variances, correlation, and even regression coefficients; but only when they were plotted, they all told a very different story. Recently, Alberto Cairo created a dataset called the Datasaurus Dozen (known by many as the Anscombesaurus) illustrating the same principle. Here is a small tribute I made to both of them. Click on the link to play with the 17 graphs from both of these datasets. I purposed added the summary statistics on top (with 4 decimals points) to truly appreciate how exact they are. https://lnkd.in/dZ6DgBT hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6468900292325838848-DOf-,Image,TRUE,Display,,
6,9,4,0,"Maps can be pleasant to look at and they have a wow factor. But, from a very strict design perspective, using maps for data visualization is not a great idea. Maps tend to give visual priority to bigger land masses. Just to give an easy example, Russia covers almost 20% of the land on a world map. While some countries in northern Europe are barely visible. One of my favorite alternatives is hexagon maps. It doesn't work as well for Europe as it does for the US though. Feel free to download this workbook and reuse this map: https://lnkd.in/epSBwRK hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6469142483602325504-ZKtn,Image,TRUE,Display,,
7,9,12,0,"These are all of the places I've lived in my (so far) 26 years. I added Brussels as a joke (I still live in Utrecht, even though I spend all most of my time here in Belgium nowadays). Once again, feel free to download the workbook and reuse it with your own data: https://lnkd.in/dWexAfY hashtag#vizmylife hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_vizmylife-tableau-juanalytics-activity-6469228206028259328-UlU1,Image,TRUE,Display,,
8,9,45,5,"Contrary to what many think, I would dare to argue that scatterplots are usually the wrong plot for your data. Scatterplots are great when there is a very clear trend (like a correlation) or when you are working with a small dataset. But even then, you can't avoid overlapping points. Besides, you really don't care about the exact coordinates of your points, you usually care about the distribution anyway. My advice is to start using hexbins! Link: https://lnkd.in/gZEZBCF hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6470187242814992384-YLUq,Image,TRUE,Display,,
9,9,20,4,"Another way to prevent overlapping dots in circle views is to add a small amount of random variation to the location of each point. This variation is known as jitter. In Tableau, you can accomplish this by using RANDOM(). This function generates a random value between 0 and 1. Interestingly, you can't really find this function in the documentation and it is barely mentioned anywhere. I believe it has something to do with the fact that it is not usually supported by databases. Honestly, jitter plots are still a quick and dirty way of preventing overlap. It is not something I would highlight as a best practice... But I love to mention it just because of the RANDOM() function. P.S. You can also make jitter plots using the INDEX() function, but it is a bit less quick and the results don't look always look ""random enough"". https://lnkd.in/gZEZBCF hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6470586762988134400-m8g9,Image,TRUE,Display,,
10,9,57,17,"""So if you studied Psychology, how did you end up working in Data?"" I made a timeline showing how all my university studies, online courses, and all of my many career changes eventually took me to where I am right now. Check the link and hover above the dots to understand it better: https://lnkd.in/dUKV5qT hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6470931307395325952-QGaA,Image,TRUE,Accomplishment,,
